y1,y2,delta1,delta2,x1_obs,x2_obs,region
0.0,1.5,1,0,0.16362597514291802,1.5,B
0.0,0.0,1,1,1.2825597381667437,0.614608859459845,A
0.0,1.5,1,0,0.4192056617606676,1.5,B
0.0,-1.5,1,1,0.5151048289118217,-0.34431576551272636,A
-1.5,-1.5,1,1,-0.15968084252714093,-0.9843719982206213,A
-3.0,-3.0,1,1,0.28337873688401655,1.3254734642865007,A
0.0,0.0,1,1,2.485172211920419,1.3794732330538293,A
0.0,-1.5,0,1,0.0,0.5688393240948165,C
-1.5,0.0,1,1,-0.1471294796523862,0.23954482981268468,A
0.0,-1.5,1,1,0.38437451266409656,-0.6933764911050385,A
0.0,-1.5,0,1,0.0,-0.5328329489133565,C
0.0,-1.5,0,1,0.0,0.00786986922502135,C
0.0,-1.5,0,1,0.0,-1.1486193664846278,C
0.0,0.0,0,1,0.0,1.9207301302534585,C
-1.5,0.0,1,1,-0.43079105948196383,0.9365785078272856,A
0.0,-1.5,1,1,0.18588426755762238,0.3873984197476791,A
0.0,0.0,0,1,0.0,0.301576005070441,C
0.0,1.5,1,0,0.7908462407578647,1.5,B
0.0,0.0,1,1,0.18939635004599092,0.6636728545900128,A
0.0,0.0,1,1,0.8897687833009634,0.7574506974231467,A
-1.5,0.0,1,0,-1.4715421197156178,0.0,B
0.0,0.0,0,1,0.0,1.6859473956894049,C
0.0,-1.5,1,1,0.09590874732844229,0.23063763724175948,A
0.0,-1.5,0,1,0.0,-1.0844507723649845,C
0.0,0.0,1,0,0.2649847818752099,0.0,B
-1.5,-1.5,1,1,1.1109675647362935,0.9730477882704294,A
0.0,1.5,1,0,0.5716464120439434,1.5,B
-1.5,0.0,1,0,0.15438574645952788,0.0,B
0.0,1.5,1,0,0.7363523886900561,1.5,B
-1.5,-1.5,1,1,0.6116932041308507,-0.3216188530264943,A
-1.5,0.0,1,0,-1.138416955376579,0.0,B
-1.5,0.0,1,0,0.8899218902520554,0.0,B
1.5,0.0,0,1,1.5,0.321532933246519,C
-3.0,-3.0,1,1,0.9372663512517202,1.6717279041873192,A
-1.5,0.0,1,0,-1.4698181159593657,0.0,B
0.0,1.5,1,0,1.6056342843294604,1.5,B
0.0,1.5,1,0,0.8976001861986109,1.5,B
0.0,-1.5,1,1,1.0010787957817413,0.9193738413083924,A
0.0,-1.5,1,1,0.7422706771712221,0.8855846219584756,A
0.0,-1.5,1,1,1.2816905751558827,0.9749548719756911,A
-1.5,-1.5,0,1,-1.5,-0.9162715543861386,C
-1.5,0.0,1,1,0.6401287015456492,0.8537947645851672,A
1.5,0.0,0,1,1.5,0.21613321744059688,C
0.0,0.0,1,1,1.7767593690714825,0.8343500344779404,A
0.0,1.5,1,0,0.295966644881299,1.5,B
0.0,0.0,1,0,0.26836164858247535,0.0,B
-1.5,-1.5,1,1,0.9234786366483748,-0.9504491534026088,A
0.0,-1.5,0,1,0.0,0.4774571887147272,C
0.0,1.5,1,0,0.72374185851627,1.5,B
0.0,0.0,1,1,1.050245267527633,0.40864833578380766,A
0.0,0.0,1,0,0.6191904179935868,0.0,B
0.0,1.5,1,0,0.37313096633932175,1.5,B
-1.5,0.0,1,0,-0.3647201886885149,0.0,B
1.5,0.0,0,1,1.5,0.11761641480454453,C
-3.0,-3.0,1,1,-2.338164815924285,-1.4967005396018935,A
-1.5,0.0,1,1,0.11900765151875878,1.0588960464169361,A
0.0,-1.5,0,1,0.0,-0.7104470869812843,C
0.0,-1.5,1,1,0.1633745644816545,0.11549826398726766,A
1.5,0.0,0,1,1.5,0.3844712091826769,C
1.5,0.0,0,1,1.5,0.45422244011583013,C
-1.5,-1.5,1,1,1.4070953497878729,1.3426992136364975,A
0.0,-1.5,1,1,0.22703474710577098,-1.255893341290525,A
-1.5,0.0,1,1,-0.7269337638434553,0.027490403840682562,A
0.0,0.0,1,0,0.13398316206705901,0.0,B
0.0,-1.5,1,1,1.2304486167352553,0.40734477047667594,A
-1.5,0.0,1,0,0.23187093634542516,0.0,B
0.0,1.5,1,0,0.05733422693720773,1.5,B
-1.5,-1.5,1,1,1.1592724514977917,0.16705574337596887,A
0.0,-1.5,0,1,0.0,-0.3182190480086938,C
-1.5,0.0,1,1,0.5317915990071373,0.3533453303475664,A
-1.5,-1.5,1,1,2.346776222729038,0.2538982320750133,A
-1.5,0.0,1,1,-0.5264429396531415,0.999587846077608,A
1.5,0.0,0,1,1.5,0.6180894764317517,C
0.0,0.0,0,1,0.0,1.4220201975875322,C
0.0,1.5,1,0,0.20729140135087754,1.5,B
0.0,-1.5,1,1,0.8466425294740428,1.8642759032793845,A
-1.5,-1.5,1,1,-0.5004153046741342,-0.09031232163870488,A
0.0,-1.5,1,1,0.14517255881951938,-0.7260725902392834,A
0.0,-1.5,1,1,1.6618431337027566,1.3397266895072864,A
0.0,1.5,1,1,1.583539323217771,1.7304200888778793,A
1.5,0.0,0,1,1.5,0.9479432661420966,C
-1.5,0.0,1,0,-0.16409878195512226,0.0,B
0.0,0.0,1,1,0.34656768778322306,0.7089460709061965,A
-3.0,-3.0,1,1,-0.0939376698631653,-0.32210755049155904,A
0.0,0.0,1,1,0.25053976563433206,0.02658778086816176,A
0.0,0.0,0,1,0.0,0.5479313183849308,C
-1.5,-1.5,1,1,-0.8362951570060942,-1.4350147274473768,A
0.0,-1.5,0,1,0.0,-0.6687653428032119,C
0.0,0.0,1,1,2.4093657464212206,0.7513543342420957,A
-1.5,-1.5,1,1,2.0945227257730785,1.0822794214484015,A
-1.5,-1.5,1,1,0.5389634751649741,0.46021421100709087,A
0.0,-1.5,0,1,0.0,-0.3325000571785107,C
0.0,1.5,1,0,0.8553455609169868,1.5,B
-1.5,-1.5,1,1,0.11883951834409993,0.7388169528914951,A
1.5,0.0,0,1,1.5,0.0059278895682228026,C
0.0,0.0,0,1,0.0,0.14844561215051683,C
0.0,-1.5,1,1,1.4941062928023265,0.22315206524465006,A
0.0,-1.5,1,1,0.1899769382423382,-1.2048868831098671,A
0.0,0.0,1,1,2.394498589561096,1.3528967618689245,A
0.0,0.0,1,1,1.447860635264329,0.24852043593500686,A
0.0,-1.5,1,1,1.0205822699822409,1.9761494075871318,A
-1.5,0.0,1,1,0.8665050008222094,0.1307128449510627,A
-1.5,-1.5,0,1,-1.5,-0.6638572522469689,C
0.0,0.0,1,0,0.3659467669595602,0.0,B
1.5,0.0,1,1,2.009518024030357,1.8921265358235184,A
